iter	Logloss
0	0.6873396544
1	0.6799391067
2	0.6737447616
3	0.6669261663
4	0.66051061
5	0.654623083
6	0.6486773168
7	0.6438383812
8	0.6385365389
9	0.6330997938
10	0.6272170277
11	0.621881763
12	0.6162769059
13	0.6117922075
14	0.6070536913
15	0.6023355708
16	0.5985205794
17	0.5934816525
18	0.5891547162
19	0.5849293998
20	0.5808342091
21	0.5768077985
22	0.5726842625
23	0.568656003
24	0.5648355966
25	0.5621303715
26	0.5585263629
27	0.5549060037
28	0.5516911554
29	0.548600321
30	0.5446365405
31	0.5414360478
32	0.5379673009
33	0.5348720381
34	0.5316063072
35	0.5284230154
36	0.5263410849
37	0.5232797823
38	0.5199212383
39	0.5168155355
40	0.5138513647
41	0.5118625214
42	0.5094066474
43	0.5068250695
44	0.5045614882
45	0.5019648018
46	0.499347717
47	0.4971610972
48	0.4947816636
49	0.4925202535
50	0.4907333182
51	0.488638959
52	0.4864639586
53	0.4843629336
54	0.4820223375
55	0.4797655292
56	0.4778309013
57	0.476577999
58	0.4743641501
59	0.47248418
60	0.4705238462
61	0.4689920784
62	0.4671456555
63	0.4655144556
64	0.4638968843
65	0.4630798062
66	0.4609543788
67	0.4591320693
68	0.4575161818
69	0.4556545134
70	0.4545314225
71	0.4529637202
72	0.4513060571
73	0.4497816879
74	0.4483627152
75	0.4467687499
76	0.4454243353
77	0.4438931996
78	0.4426838603
79	0.4413814537
80	0.4404683764
81	0.4390550137
82	0.4376685798
83	0.4364236773
84	0.4350918914
85	0.433749733
86	0.4326116354
87	0.4313782614
88	0.4303664427
89	0.4290494079
90	0.4279076439
91	0.4267763389
92	0.4254119066
93	0.4244472076
94	0.4236145543
95	0.4227617431
96	0.4218606403
97	0.4208553483
98	0.4197795549
99	0.4189233619
100	0.4177720081
101	0.4166868616
102	0.4155721532
103	0.4145989416
104	0.4136911457
105	0.4128729718
106	0.4118020507
107	0.4107161045
108	0.4098201525
109	0.4090447062
110	0.4080098039
111	0.4070888931
112	0.4063269161
113	0.4054427603
114	0.4046482925
115	0.4037577103
116	0.4035322658
117	0.4029328725
118	0.4022075855
119	0.4014285044
120	0.4008946828
121	0.4002537036
122	0.3996405668
123	0.3989709815
124	0.3985397576
125	0.397820457
126	0.397335741
127	0.3965539433
128	0.3963098205
129	0.3956600812
130	0.3952544781
131	0.3948358381
132	0.3942890362
133	0.3936183413
134	0.3929697603
135	0.3924281773
136	0.3917226283
137	0.3909733771
138	0.3902329007
139	0.3897177705
140	0.389134211
141	0.3885158254
142	0.3878507481
143	0.3871657179
144	0.386572321
145	0.3860889147
146	0.3854936354
147	0.384925486
148	0.3844133056
149	0.3839570823
150	0.3835643854
151	0.3830073628
152	0.3824903392
153	0.3816750899
154	0.3809551578
155	0.3806513663
156	0.380098438
157	0.379448206
158	0.378945645
159	0.3785735134
160	0.3780664921
161	0.3779655101
162	0.3774482926
163	0.3769807331
164	0.3763885522
165	0.3759375396
166	0.3753917817
167	0.3751229287
168	0.3747939097
169	0.3744825554
170	0.3740981217
171	0.3735908795
172	0.3731381277
173	0.3726970229
174	0.3721921722
175	0.3719199422
176	0.3714815804
177	0.3709786644
178	0.3707092613
179	0.3702421748
180	0.3698232324
181	0.3694948028
182	0.3691003205
183	0.3688917661
184	0.3686461152
185	0.3683389264
186	0.3680486929
187	0.3675402797
188	0.3670280609
189	0.3669788796
190	0.366759679
191	0.3664467377
192	0.3660397655
193	0.3657649083
194	0.3653639891
195	0.3651194477
196	0.3650706616
197	0.3646825034
198	0.3642933806
199	0.3638688851
200	0.3634846843
201	0.3631792848
202	0.362849529
203	0.3624874852
204	0.3621348562
205	0.3618900468
206	0.3615930639
207	0.3613694477
208	0.361134647
209	0.3609579831
210	0.360699287
211	0.3604802355
212	0.3601926156
213	0.3597333697
214	0.3595949551
215	0.3593720302
216	0.3589948396
217	0.3586424982
218	0.3583664274
219	0.3579956525
220	0.3576861512
221	0.3573373732
222	0.3571083957
223	0.3568048873
224	0.356364114
225	0.3562979457
226	0.3560208483
227	0.3555881285
228	0.3554323168
229	0.3551861098
230	0.3549003918
231	0.3546086741
232	0.3544591033
233	0.3542373306
234	0.3540657737
235	0.3536664224
236	0.3533427866
237	0.3530981314
238	0.3529565857
239	0.3525186864
240	0.3521881039
241	0.3518621044
242	0.3516299242
243	0.3513610861
244	0.3511299239
245	0.350929035
246	0.3505578687
247	0.3503003021
248	0.3500513938
249	0.3498327245
250	0.3495551835
251	0.3492700033
252	0.3489891742
253	0.3486496393
254	0.3484379513
255	0.3482305713
256	0.3478167018
257	0.3476109799
258	0.3473279912
259	0.3470662053
260	0.3466729861
261	0.3464537358
262	0.3460946133
263	0.3459124511
264	0.3456040499
265	0.3453946534
266	0.3451554833
267	0.3447905192
268	0.344725216
269	0.3444808253
270	0.3442520238
271	0.3440654167
272	0.3438575216
273	0.3434563528
274	0.3431827668
275	0.3430491833
276	0.3426727592
277	0.3424450846
278	0.3422089864
279	0.3420406504
280	0.3417912509
281	0.3415826672
282	0.3409512738
283	0.3407476965
284	0.3405050829
285	0.3402584229
286	0.3402467623
287	0.3400103383
288	0.3398042329
289	0.3395908007
290	0.3393941669
291	0.339259756
292	0.3391505901
293	0.3391199103
294	0.338831237
295	0.3387126534
296	0.3385054895
297	0.3383544747
298	0.3380696615
299	0.3378896665
300	0.3377305859
301	0.3375316236
302	0.3372397723
303	0.3370019358
304	0.336810825
305	0.3366665704
306	0.336351486
307	0.3360399217
308	0.3358129515
309	0.3356485056
310	0.3354387368
311	0.3353131436
312	0.335060836
313	0.334705232
314	0.3345137855
315	0.334303785
316	0.3341563558
317	0.3339738051
318	0.3337934766
319	0.3336708257
320	0.3335455442
321	0.3331602561
322	0.3328790615
323	0.3326846082
324	0.3323429871
325	0.3321075522
326	0.3316610874
327	0.3314493917
328	0.3312554205
329	0.3311020472
330	0.330908571
331	0.3307330784
332	0.3305416928
333	0.3303547779
334	0.3301893939
335	0.3301593037
336	0.3300223202
337	0.3298919552
338	0.3297896417
339	0.3296547424
340	0.32950132
341	0.3290890349
342	0.3288850251
343	0.3287122479
344	0.3286178367
345	0.3283570216
346	0.3281600404
347	0.3280354647
348	0.3277408351
349	0.3276799617
350	0.3275471314
351	0.3273923332
352	0.3272544552
353	0.3270886271
354	0.3269708285
355	0.3267636759
356	0.3264397014
357	0.3260492528
358	0.3259230234
359	0.3258566194
360	0.3256426193
361	0.3254742943
362	0.3253497338
363	0.3250793949
364	0.3247312975
365	0.3245285319
366	0.3243875698
367	0.3242003684
368	0.3240266879
369	0.3238837876
370	0.3238235797
371	0.3237089434
372	0.3235973899
373	0.3234260117
374	0.3233528813
375	0.3232193259
376	0.3230078674
377	0.3227950487
378	0.3224064977
379	0.322293048
380	0.3220595517
381	0.3219985869
382	0.3216861879
383	0.3215554649
384	0.3213493678
385	0.3211038271
386	0.3208391865
387	0.3207109386
388	0.3204791708
389	0.320290971
390	0.3201485544
391	0.3198683521
392	0.3198571307
393	0.3196642647
394	0.3194382304
395	0.3192903484
396	0.3190519182
397	0.3189026619
398	0.3186975572
399	0.318560263
400	0.3185099339
401	0.3183387822
402	0.3182392484
403	0.3180874721
404	0.3178991749
405	0.3177136477
406	0.3175929154
407	0.3173813122
408	0.3170448466
409	0.3168984272
410	0.3167161347
411	0.3164639436
412	0.3163377358
413	0.3162391053
414	0.3162197755
415	0.316077721
416	0.3158678573
417	0.3156715479
418	0.3155309975
419	0.3153428669
420	0.3151840995
421	0.3151776926
422	0.3150732877
423	0.3149344574
424	0.3147741963
425	0.3146139779
426	0.3145283904
427	0.3143681507
428	0.3142550593
429	0.3141345558
430	0.3140225808
431	0.3138281693
432	0.3136206784
433	0.3134258373
434	0.3133195464
435	0.3131645305
436	0.3130200203
437	0.3128769978
438	0.3127342999
439	0.3125728812
440	0.3124082941
441	0.312223329
442	0.3122117867
443	0.3120150082
444	0.3117465998
445	0.3115696491
446	0.3113852353
447	0.3112569214
448	0.3111449597
449	0.3110336578
450	0.3107665469
451	0.3106437532
452	0.3105218302
453	0.3104063607
454	0.3102268818
455	0.3100157096
456	0.3099251322
457	0.3097617621
458	0.3096437769
459	0.3094687237
460	0.3093272023
461	0.309050576
462	0.3088821514
463	0.3087642707
464	0.3086206734
465	0.3085103662
